seller_code,seller_name,category,state,orders,delivered,rto_orders,rto_pct,avoidable_rto_orders_to_25pct
S001,Seller A,Women's Bras,Andaman Nicobar,87,64,23,26.436781609195403,1.25
S001,Seller A,Women's Bras,Andhra Pradesh,3048,2198,850,27.887139107611542,88.0
S001,Seller A,Women's Bras,Assam,304,160,144,47.368421052631575,68.0
S001,Seller A,Women's Bras,Bihar,1153,628,525,45.533391153512575,236.75
S001,Seller A,Women's Bras,Chandigarh,50,42,8,16.0,0.0
S001,Seller A,Women's Bras,Chhattisgarh,439,312,127,28.929384965831435,17.25
S001,Seller A,Women's Bras,Delhi,2420,1754,666,27.520661157024797,61.0
S001,Seller A,Women's Bras,Goa,275,219,56,20.363636363636363,0.0
S001,Seller A,Women's Bras,Gujarat,1910,1367,543,28.429319371727747,65.5
S001,Seller A,Women's Bras,Haryana,1424,966,458,32.162921348314605,102.0
S001,Seller A,Women's Bras,Himachal Pradesh,268,176,92,34.32835820895522,25.0
S001,Seller A,Women's Bras,Jammu & Kashmir,369,204,165,44.71544715447154,72.75
S001,Seller A,Women's Bras,Jharkhand,304,191,113,37.17105263157895,37.0
S001,Seller A,Women's Bras,Karnataka,8346,6266,2080,24.922118380062305,0.0
S001,Seller A,Women's Bras,Kerala,14654,12085,2569,17.531049542786953,0.0
S001,Seller A,Women's Bras,Madhya Pradesh,947,611,336,35.480464625131994,99.25
S001,Seller A,Women's Bras,Maharashtra,6575,4747,1828,27.80228136882129,184.25
S001,Seller A,Women's Bras,Manipur,192,99,93,48.4375,45.0
S001,Seller A,Women's Bras,Meghalaya,92,72,20,21.73913043478261,0.0
S001,Seller A,Women's Bras,Orissa,866,611,255,29.445727482678983,38.5
S001,Seller A,Women's Bras,Pondicherry,196,146,50,25.51020408163265,1.0
S001,Seller A,Women's Bras,Punjab,437,278,159,36.38443935926773,49.75
S001,Seller A,Women's Bras,Rajasthan,354,216,138,38.983050847457626,49.5
S001,Seller A,Women's Bras,Sikkim,90,54,36,40.0,13.5
S001,Seller A,Women's Bras,TELANGANA,4088,2954,1134,27.73972602739726,112.0
S001,Seller A,Women's Bras,Tamil Nadu,10228,8346,1882,18.400469299960893,0.0
S001,Seller A,Women's Bras,Tripura,154,99,55,35.714285714285715,16.5
S001,Seller A,Women's Bras,Uttar Pradesh,4030,2617,1413,35.0620347394541,405.5
S001,Seller A,Women's Bras,Uttarakhand,568,382,186,32.74647887323944,44.0
S001,Seller A,Women's Bras,West Bengal,2663,1973,690,25.910627112279386,24.25
S002,Seller B,Bedsheets,Andhra Pradesh,147,113,34,23.12925170068027,0.0
S002,Seller B,Bedsheets,Assam,278,183,95,34.1726618705036,25.5
S002,Seller B,Bedsheets,Bihar,149,86,63,42.28187919463088,25.75
S002,Seller B,Bedsheets,Chandigarh,54,35,19,35.18518518518518,5.5
S002,Seller B,Bedsheets,Chhattisgarh,59,45,14,23.728813559322035,0.0
S002,Seller B,Bedsheets,Delhi,844,681,163,19.31279620853081,0.0
S002,Seller B,Bedsheets,Gujarat,452,367,85,18.805309734513276,0.0
S002,Seller B,Bedsheets,Haryana,630,475,155,24.6031746031746,0.0
S002,Seller B,Bedsheets,Himachal Pradesh,160,129,31,19.375,0.0
S002,Seller B,Bedsheets,Jammu & Kashmir,157,116,41,26.11464968152866,1.75
S002,Seller B,Bedsheets,Jharkhand,80,52,28,35.0,8.0
S002,Seller B,Bedsheets,Karnataka,273,206,67,24.54212454212454,0.0
S002,Seller B,Bedsheets,Kerala,217,185,32,14.746543778801843,0.0
S002,Seller B,Bedsheets,Madhya Pradesh,239,183,56,23.430962343096237,0.0
S002,Seller B,Bedsheets,Maharashtra,1169,931,238,20.35928143712575,0.0
S002,Seller B,Bedsheets,Orissa,186,119,67,36.02150537634409,20.5
S002,Seller B,Bedsheets,Punjab,498,348,150,30.120481927710845,25.5
S002,Seller B,Bedsheets,Rajasthan,192,113,79,41.14583333333333,31.0
S002,Seller B,Bedsheets,TELANGANA,312,238,74,23.717948717948715,0.0
S002,Seller B,Bedsheets,Uttar Pradesh,1001,736,265,26.47352647352647,14.75
S002,Seller B,Bedsheets,Uttarakhand,176,132,44,25.0,0.0
S002,Seller B,Bedsheets,West Bengal,564,467,97,17.19858156028369,0.0
S003,Seller C,Walkie-talkies / Electronics,Andhra Pradesh,1067,593,474,44.42361761949391,207.25
S003,Seller C,Walkie-talkies / Electronics,Arunachal Pradesh,485,281,204,42.06185567010309,82.75
S003,Seller C,Walkie-talkies / Electronics,Assam,899,388,511,56.84093437152391,286.25
S003,Seller C,Walkie-talkies / Electronics,Bihar,1189,491,698,58.70479394449117,400.75
